product_id,product_name,category,unit_price,brand
1,Realigned directional synergy,Unknown,170.37,"Hoffman, Young and Mueller"
2,Total executive solution,Clothing,79.66,"Williams, James and Butler"
3,Synergized foreground neural-net,Automotive,85.27,Smith LLC
4,Exclusive regional time-frame,Beauty,360.63,Greer-Pruitt
5,Triple-buffered tertiary project,Automotive,375.02,Fischer-Payne
6,Robust dedicated time-frame,Office Supplies,482.9,"Brandt, Phillips and Thompson"
7,Synergized asynchronous contingency,Books,473.72,Moss Inc
8,Multi-tiered 6thgeneration interface,Grocery,389.73,Hawkins-Anderson
9,Reduced eco-centric ability,Beauty,408.99,Owens-Pineda
10,Balanced coherent Graphic Interface,Clothing,28.93,"Williams, Randolph and Gilbert"
11,Switchable exuding matrix,Sports & Outdoors,53.99,"Pierce, Jones and Zimmerman"
12,Progressive directional contingency,Home & Kitchen,382.27,"Jones, Wagner and Perry"
13,Public-key impactful array,Office Supplies,220.42,Walker-Lewis
14,Managed full-range hierarchy,Books,442.66,Robinson-Goodwin
15,Progressive methodical open architecture,Beauty,252.5,"Smith, Caldwell and Griffin"
16,Stand-alone reciprocal process improvement,Home & Kitchen,17.01,Haley Ltd
17,Inverse homogeneous utilization,Sports & Outdoors,71.39,Cruz PLC
18,Up-sized executive algorithm,Grocery,71.98,"Short, Brooks and Lang"
20,Profound attitude-oriented attitude,Books,275.76,Bonilla PLC
21,Public-key 24hour product,Office Supplies,388.76,Clark Ltd
22,Vision-oriented didactic software,Unknown,211.65,Houston-Harris
23,Total user-facing time-frame,Grocery,418.83,Lucas-Case
24,User-friendly systemic collaboration,Unknown,259.14,Stevens LLC
25,Automated background archive,Clothing,3.78,Thompson LLC
26,Realigned asynchronous orchestration,Automotive,333.19,Bartlett Group
27,Networked local product,Sports & Outdoors,264.45,Hamilton-Smith
28,Synergistic bottom-line monitoring,Office Supplies,197.06,May PLC
30,Profit-focused bi-directional frame,Home & Kitchen,367.27,"Turner, Miller and Hubbard"
31,Organic homogeneous infrastructure,Automotive,168.26,"Johnson, Moore and Robinson"
32,User-friendly hybrid utilization,Office Supplies,322.47,"Phillips, Walters and Evans"
33,Upgradable secondary hub,Grocery,240.83,Spencer PLC
34,Digitized bottom-line analyzer,Clothing,388.77,Armstrong Group
35,Public-key neutral artificial intelligence,Toys,396.18,Clark-Figueroa
36,Up-sized grid-enabled data-warehouse,Sports & Outdoors,259.15,Whitehead-York
37,Digitized cohesive contingency,Office Supplies,21.2,Jensen LLC
38,Ergonomic bifurcated contingency,Toys,391.08,"Marsh, Phelps and York"
39,Reactive maximized project,Sports & Outdoors,400.27,"Jones, Powers and King"
40,Exclusive uniform paradigm,Beauty,447.63,Lynn-Howard
41,Synchronized solution-oriented encoding,Clothing,250.27,Mitchell Inc
42,Ergonomic foreground matrix,Office Supplies,44.06,Murphy-Hopkins
43,Team-oriented optimal collaboration,Beauty,411.7,"Knight, Aguirre and Benjamin"
44,Down-sized 24hour functionalities,Sports & Outdoors,165.98,Floyd Ltd
45,User-centric secondary Internet solution,Grocery,214.78,Larsen-Taylor
46,Upgradable full-range matrices,Sports & Outdoors,364.23,Griffin-Hampton
47,Pre-emptive neutral benchmark,Automotive,139.45,Brewer Inc
48,Grass-roots client-driven monitoring,Electronics,319.84,Baker Ltd
49,Compatible upward-trending archive,Clothing,73.96,Atkinson Ltd
50,Assimilated optimal paradigm,Unknown,36.41,Hammond-Lewis
51,Automated neutral firmware,Sports & Outdoors,474.89,"Shannon, Fernandez and Valdez"
52,Distributed high-level infrastructure,Clothing,474.57,Vance PLC
